x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
83,79,79,0,1,10.260869565217362,8
77,76,137,0,1,7.260869565217362,29
70,94,119,0,1,17.739130434782638,54
74,93,118,0,1,14.91304347826086,56
74,96,137,0,1,17.91304347826086,97
68,95,95,0,1,20.739130434782638,116
75,80,135,0,1,2.9130434782608603,153
70,82,119,0,1,5.739130434782638,154
80,80,136,0,1,7.91304347826086,173
65,86,117,0,1,14.739130434782638,177
82,88,89,0,1,17.91304347826086,226
68,87,53,0,1,12.739130434782638,243
66,85,74,0,1,12.739130434782638,251
75,85,84,0,1,7.91304347826086,276
72,78,124,0,1,2.0869565217391397,290
