x,y,time_to_live,cluster,hospital_number,time_to_hospital,index
58,100,74,0,1,35.242857142857176,18
52,85,83,0,1,26.242857142857176,65
62,96,73,0,1,27.242857142857176,69
61,91,117,0,1,23.242857142857176,111
53,87,135,0,1,27.242857142857176,140
52,92,82,0,1,33.242857142857176,170
59,95,65,0,1,29.242857142857176,174
54,80,122,0,1,19.242857142857176,191
59,84,71,0,1,18.242857142857176,209
61,85,143,0,1,17.242857142857176,216
52,93,119,0,1,34.242857142857176,223
54,92,124,0,1,31.242857142857176,247
57,96,65,0,1,32.242857142857176,265
50,91,58,0,1,34.242857142857176,278
57,91,96,0,1,27.242857142857176,285
